COD_CURSO,CURSO,NUM_VERSAO,DESCR_ESTRUTURA,PERIODO_IDEAL,COD_DISCIPLINA,NOME_DISCIPLNA,CREDITOS,CH_TEORICA,CH_PRATICA,CH_TOTAL
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,3,IBP029,IMUNOLOGIA,2,30,0,30
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,4,EEM016,TRABALHO DE CONCLUSÃO DE CURSO I,4,60,0,60
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,4,EEM017,FUNDAMENTOS DO CUIDAR EM ENFERMAGEM,11,90,150,240
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,4,EEM018,GESTÃO EM SAÚDE E ENFERMAGEM - A,8,120,0,120
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,4,EEM019,PROCESSAMENTO DE PRODUTOS PARA SAÚDE,2,15,30,45
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,5,EEM020,ENFERMAGEM NO CUIDADO INTEGRAL À SAÚDE DO ADULTO,13,90,210,300
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,5,EEM021,ENFERMAGEM NO CUIDADO AO PACIENTE CRÍTICO,5,60,30,90
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,5,EMS052,ENFERMAGEM EM SAÚDE MENTAL,4,30,60,90
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,6,EEM022,ENFERMAGEM NO CUIDADO INTEGRAL À SAÚDE DA MULHER,7,60,90,150
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,6,EEM023,ENFERMAGEM NO CUIDADO INTEGRAL À SAÚDE DA CRIANÇA E DO ADOLESCENTE,7,60,90,150
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,6,EEM024,SAÚDE COLETIVA II - B,5,30,90,120
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,6,EMS054,ENFERMAGEM NA ATENÇÃO INTEGRAL À SAÚDE DO IDOSO,3,30,30,60
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,7,EEM025,ESTÁGIO CURRICULAR - INTERNATO I: ENFERMAGEM NA ATENÇÃO BÁSICA,14,0,420,420
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,8,EEM026,ESTÁGIO CURRICULAR - INTERNATO II: ENFERMAGEM NA ÁREA HOSPITALAR,13,0,390,390
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,8,EEM030,TRABALHO DE CONCLUSÃO DE CURSO II,2,30,0,30
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,8,ENADE02,ENADE - CONCLUINTE,,,,
EM01,Enfermagem,2019/1,OPTATIVAS,,EEF027,AVALIAÇÃO CLÍNICA,3,30,30,60
EM01,Enfermagem,2019/1,OPTATIVAS,,EEM027,QUALIDADE EM SAÚDE E ENFERMAGEM,2,30,0,30
EM01,Enfermagem,2019/1,OPTATIVAS,,EEM028,FAMÍLIA E SAÚDE,2,15,30,45
EM01,Enfermagem,2019/1,OPTATIVAS,,EEM031,ENFERMAGEM NO CUIDADO À SAÚDE DO TRABALHADOR,2,30,0,30
EM01,Enfermagem,2019/1,OPTATIVAS,,EMC025,EMPREENDEDORISMO E MARKETING EM ENFERMAGEM,2,30,0,30
EM01,Enfermagem,2019/1,OPTATIVAS,,EMS035,INFORMÁTICA EM SAÚDE,2,30,0,30
EM01,Enfermagem,2019/1,OPTATIVAS,,EMS036,PRÁTICAS COMPLEMENTARES EM SAÚDE,2,30,0,30
EM01,Enfermagem,2019/1,OPTATIVAS,,FEN024,LIBRAS,4,60,,60
EM01,Enfermagem,2019/1,OPTATIVAS,,IHE003,COMPREENSÃO DE TEXTOS EM LINGUA ESPANHOLA I,4,60,,60
EM01,Enfermagem,2019/1,OPTATIVAS,,IHE130,INGLÊS INSTRUMENTAL I,4,60,,60
EM01,Enfermagem,2019/1,OPTATIVAS,,IHP184,LÍNGUA PORTUGUESA I,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,1,FAA001,TEORIA DE ADMINISTRACÃO I,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,1,FAA082,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,1,FAA085,COMPORTAMENTO HUMANO NAS ORGANIZAÇÕES,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,1,FAA206,GESTÃO DA INOVAÇÃO,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,1,FAE101,INTRODUCÃO À ECONOMIA A,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,2,FAA002,TEORIA DA ADMINISTRACAO II,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,2,FAA103,EMPREENDEDORISMO,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,2,FAA207,ÉTICA E RESPONSABILIDADE SOCIAL,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,2,FAC044,ELEMENTOS DE CONTABILIDADE,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,2,IEM075,CÁLCULO DIFERENCIAL E INTEGRAL I,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,3,FAA006,MÉTODOS QUANTITATIVOS FINANCEIROS,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,3,FAA059,METODOLOGIA DA PESQUISA,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,3,FAA208,GESTÃO DE MARKETING I,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,3,FDU002,INSTITUICÃO DE DIREITO PUBLICO E PRIVADO,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,3,IEE092,ESTATISTICA A,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,4,FAA209,GESTÃO DE MARKETING II,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,4,FAA210,GESTÃO DAS RELAÇÕES TRABALHISTAS,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,4,FAA217,GESTÃO DA PRODUÇÃO E OPERAÇÕES,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,4,FAE144,ECONOMIA BRASILEIRA CONTEMPORÂNEA A,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,4,IHS011,SOCIOLOGIA I,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,5,FAA211,GESTÃO DE PESSOAS I,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,5,FAA212,GESTÃO FINANCEIRA I,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,5,FAA214,GESTÃO E PLANEJAMENTO TRIBUTÁRIO,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,5,FAC092,ANÁLISE DAS DEMONSTRAÇÕES CONTÁBEIS PARA ADMINISTRAÇÃO,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,5,IHS037,CIÊNCIA POLITICA,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,6,FAA112,ESTRATÉGIA ORGANIZACIONAL,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,6,FAA213,GESTÃO FINANCEIRA II,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,6,FAA215,GESTÃO DE PESSOAS II,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,6,FAA216,GESTÃO PÚBLICA,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,6,FEP113,"PSICOLOGIA, TRABALHO E GESTÃO",4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,7,FAA105,GESTÃO DE CUSTOS,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,7,FAA218,GESTÃO DE PROCESSOS,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,7,FAA219,GESTÃO SÓCIOAMBIENTAL,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,7,FAA220,FINANÇAS PÚBLICAS,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,7,FAA323,ESTÁGIO SUPERVISIONADO I,6,15,150,165
FA01,Administração,2021/1,OBRIGATÓRIAS,7,FAA325,TRABALHO DE CONCLUSÃO DE CURSO I,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,8,FAA104,ADMINISTRAÇÃO DE SERVIÇOS,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,8,FAA221,GESTÃO DE LOGÍSTICA E MATERIAIS,4,,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,8,FAA222,GESTÃO DE PROJETOS,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,8,FAA324,ESTÁGIO SUPERVISIONADO II,5,15,120,135
FA01,Administração,2021/1,OBRIGATÓRIAS,8,FAA326,TRABALHO DE CONCLUSÃO DE CURSO II,4,60,,60
FA01,Administração,2021/1,OBRIGATÓRIAS,,ENADE01,ENADE - INGRESSANTE,,,,
FA01,Administração,2021/1,OBRIGATÓRIAS,,ENADE02,ENADE - CONCLUINTE,,,,
FA01,Administração,2021/1,OPTATIVAS,,FAA072,ADMINISTRACAO DE CARGOS E SALARIOS,4,60,,60
FA01,Administração,2021/1,OPTATIVAS,,FAA105,GESTÃO DE CUSTOS,4,60,,60
FA01,Administração,2021/1,OPTATIVAS,,FAA223,ESTRATÉGIA DE DESENVOLVIMENTO DO AMAZONAS,4,60,,60
FA01,Administração,2021/1,OPTATIVAS,,FAA224,ORGANIZAÇÕES E TECNOLOGIAS,4,60,,60
FA01,Administração,2021/1,OPTATIVAS,,FAA225,GESTÃO DO AGRONEGÓCIO,60,60,,60
FA01,Administração,2021/1,OPTATIVAS,,FAA226,NEGÓCIOS INTERNACIONAIS,4,60,,60
FA01,Administração,2021/1,OPTATIVAS,,FAA227,POLÍTICAS PÚBLICAS,4,60,,60
FA01,Administração,2021/1,OPTATIVAS,,FAA228,MARKETING DIGITAL,4,60,,60
FA01,Administração,2021/1,OPTATIVAS,,ICC901,INTRODUÇÃO À PROGRAMAÇÃO DE COMPUTADORES,3,30,30,60
FA01,Administração,2021/1,OPTATIVAS,,IHP123,LINGUA BRASILEIRA DE SINAIS B,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,1,FAA001,TEORIA DE ADMINISTRACÃO I,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,1,FAA082,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,1,FAA085,COMPORTAMENTO HUMANO NAS ORGANIZAÇÕES,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,1,FAA206,GESTÃO DA INOVAÇÃO,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,1,FAE101,INTRODUCÃO À ECONOMIA A,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,2,FAA002,TEORIA DA ADMINISTRACAO II,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,2,FAA103,EMPREENDEDORISMO,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,2,FAA207,ÉTICA E RESPONSABILIDADE SOCIAL,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,2,FAC044,ELEMENTOS DE CONTABILIDADE,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,2,IEM075,CÁLCULO DIFERENCIAL E INTEGRAL I,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,3,FAA006,MÉTODOS QUANTITATIVOS FINANCEIROS,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,3,FAA059,METODOLOGIA DA PESQUISA,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,3,FAA208,GESTÃO DE MARKETING I,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,3,FDU002,INSTITUICÃO DE DIREITO PUBLICO E PRIVADO,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,3,IEE092,ESTATISTICA A,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,4,FAA209,GESTÃO DE MARKETING II,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,4,FAA210,GESTÃO DAS RELAÇÕES TRABALHISTAS,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,4,FAA217,GESTÃO DA PRODUÇÃO E OPERAÇÕES,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,4,FAE144,ECONOMIA BRASILEIRA CONTEMPORÂNEA A,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,4,IHS011,SOCIOLOGIA I,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,5,FAA211,GESTÃO DE PESSOAS I,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,5,FAA212,GESTÃO FINANCEIRA I,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,5,FAA214,GESTÃO E PLANEJAMENTO TRIBUTÁRIO,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,5,FAC092,ANÁLISE DAS DEMONSTRAÇÕES CONTÁBEIS PARA ADMINISTRAÇÃO,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,5,IHS037,CIÊNCIA POLITICA,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,6,FAA112,ESTRATÉGIA ORGANIZACIONAL,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,6,FAA213,GESTÃO FINANCEIRA II,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,6,FAA215,GESTÃO DE PESSOAS II,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,6,FAA216,GESTÃO PÚBLICA,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,6,FEP113,"PSICOLOGIA, TRABALHO E GESTÃO",4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,7,FAA105,GESTÃO DE CUSTOS,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,7,FAA218,GESTÃO DE PROCESSOS,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,7,FAA219,GESTÃO SÓCIOAMBIENTAL,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,7,FAA220,FINANÇAS PÚBLICAS,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,7,FAA323,ESTÁGIO SUPERVISIONADO I,6,15,150,165
FA02,Administração,2021/1,OBRIGATÓRIAS,7,FAA325,TRABALHO DE CONCLUSÃO DE CURSO I,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,8,FAA104,ADMINISTRAÇÃO DE SERVIÇOS,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,8,FAA221,GESTÃO DE LOGÍSTICA E MATERIAIS,4,,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,8,FAA222,GESTÃO DE PROJETOS,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,8,FAA324,ESTÁGIO SUPERVISIONADO II,5,15,120,135
FA02,Administração,2021/1,OBRIGATÓRIAS,8,FAA326,TRABALHO DE CONCLUSÃO DE CURSO II,4,60,,60
FA02,Administração,2021/1,OBRIGATÓRIAS,,ENADE01,ENADE - INGRESSANTE,,,,
FA02,Administração,2021/1,OBRIGATÓRIAS,,ENADE02,ENADE - CONCLUINTE,,,,
FA02,Administração,2021/1,OPTATIVAS,,FAA072,ADMINISTRACAO DE CARGOS E SALARIOS,4,60,,60
FA02,Administração,2021/1,OPTATIVAS,,FAA105,GESTÃO DE CUSTOS,4,60,,60
FA02,Administração,2021/1,OPTATIVAS,,FAA223,ESTRATÉGIA DE DESENVOLVIMENTO DO AMAZONAS,4,60,,60
FA02,Administração,2021/1,OPTATIVAS,,FAA224,ORGANIZAÇÕES E TECNOLOGIAS,4,60,,60
